model,Delta_MAE_valence,Delta_MAE_arousal,Delta_MSE_valence,Delta_MSE_arousal,DirAcc_valence,DirAcc_arousal
zero_change,1.0937019969278035,0.6589861751152074,2.3533026113671274,0.9877112135176651,0.3655913978494624,0.5053763440860215
mean_change_train,1.0988560108877088,0.6613159760433648,2.352600256930966,0.9877739368028481,0.3302611367127496,0.24423963133640553
momentum_last_change,1.9523809523809523,1.2258064516129032,6.794162826420891,2.8847926267281108,0.2780337941628264,0.3533026113671275
