Delta_MAE_valence,Delta_MAE_arousal,Delta_MSE_valence,Delta_MSE_arousal,DirAcc_valence,DirAcc_arousal,user_id
1.0371554,0.33166075,2.0788167,0.30006635,0.0,0.0,1
1.0633308,0.51375896,1.9132171,0.74713916,0.4090909090909091,0.20454545454545456,2
0.7459619,0.068059854,0.66611713,0.0068113385,0.75,0.0,3
1.0999428,0.7425031,1.9992398,0.72707856,0.14285714285714285,0.2857142857142857,4
1.3691125,1.0936112,2.6801846,1.6162914,0.5,0.5,6
2.0028214,2.0460122,4.011294,4.186166,0.0,0.0,7
0.0028214678,0.046012096,7.960681e-06,0.002117113,0.0,0.0,8
1.052312,0.29361412,3.0122414,0.21319056,0.0,0.3333333333333333,10
1.5963126,0.73502934,3.625727,0.8920802,0.5806451612903226,0.3548387096774194,11
3.5084908,1.0043589,12.565208,1.0104718,0.0,0.5,14
1.0273892,0.35942563,2.0335639,0.30473444,0.4444444444444444,0.2222222222222222,15
1.0969728,0.6579889,1.8271807,0.7201325,0.49333333333333335,0.3466666666666667,16
1.415538,0.4292568,3.1759644,0.383192,0.5384615384615384,0.20192307692307693,17
1.0568393,0.6749078,1.766212,0.8207505,0.3333333333333333,0.3333333333333333,18
1.6585028,1.3357434,3.6076229,2.6419773,0.25,0.25,19
0.0028214678,1.046012,7.960681e-06,1.0941412,0.0,0.0,20
0.008490903,0.54165316,0.00010423794,0.54776603,0.0,0.0,21
1.4161024,0.59611636,3.227835,0.6290117,0.3333333333333333,0.0,23
1.8192664,0.4702224,3.6933184,0.7037576,0.5,0.25,24
0.49433056,0.54165316,0.4859439,0.54776603,0.5,0.0,25
1.245719,0.67187417,2.298222,0.827794,0.5,0.34210526315789475,26
1.2334127,0.63698786,2.4341707,0.7580466,0.5977011494252874,0.28735632183908044,27
0.65284306,1.1217916,1.1279508,1.6337115,0.14285714285714285,0.5714285714285714,28
0.69507086,0.44464797,1.326068,0.46467775,0.4,0.2,29
1.0028214,0.9539879,1.0056509,0.9100929,0.0,1.0,30
1.7005018,1.341962,3.8891094,1.9812454,0.3333333333333333,0.3333333333333333,31
1.9407592,0.74989957,3.9945757,0.6915929,0.25,0.5,32
1.1570735,0.6091672,2.0741038,0.6269043,0.45794392523364486,0.34579439252336447,33
2.0028214,0.046012096,4.011294,0.002117113,0.0,0.0,34
1.9971786,0.9539879,3.988722,0.9100929,1.0,1.0,35
0.64372766,0.4733766,0.5623957,0.42429352,0.4,0.4,36
1.0956895,0.6860464,2.045003,0.7873896,0.5520833333333334,0.3854166666666667,38
1.3149064,0.63913745,2.5154943,0.73371214,0.625,0.375,39
0.26813164,0.5506226,0.13288303,0.69125664,0.014634146341463415,0.25365853658536586,40
2.0028214,2.0460122,4.011294,4.186166,0.0,0.0,41
0.09970068,0.68261844,0.0266001,1.2742201,0.0,0.3333333333333333,42
1.7356924,0.36193666,5.6957455,0.36517945,0.0,0.0,43
0.98983663,1.3901958,1.6356715,2.1756215,0.6666666666666666,0.0,44
1.3411509,0.86066115,2.6959815,1.1848618,0.5869565217391305,0.45652173913043476,45
0.20052451,0.37168622,0.13741688,0.30097649,0.3333333333333333,0.16666666666666666,46
1.313238,1.33341,1.9110216,2.1011956,0.4,0.6,47
1.2346243,0.73045707,2.2750301,0.95523566,0.4117647058823529,0.35294117647058826,50
1.0084909,0.04165319,2.0284252,0.0017539882,0.0,0.0,51
1.4235721,0.70073205,3.4987245,0.76795155,0.375,0.375,52
0.66690373,1.2295456,0.8407738,1.8509151,0.3333333333333333,0.4444444444444444,54
1.6149186,0.61066544,3.413714,0.80126745,0.4444444444444444,0.2222222222222222,56
0.95273083,0.3921068,1.3507661,0.31628937,0.4722222222222222,0.25,57
0.6941037,0.3825934,0.7290802,0.30294624,0.2777777777777778,0.19444444444444445,58
0.84428126,0.37436897,1.4983512,0.34397954,0.375,0.0,59
0.26806659,0.08642221,0.10034659,0.01453649,0.0,0.0,60
1.1391286,0.3977797,3.0485723,0.5670764,0.1111111111111111,0.1111111111111111,61
0.5630374,0.12046784,0.953952,0.07103126,0.08571428571428572,0.02857142857142857,62
0.78145665,0.68350804,0.9436125,0.80856085,0.2903225806451613,0.2903225806451613,63
1.1627625,0.93900883,2.2693906,1.3682815,0.5555555555555556,0.4444444444444444,64
1.5520692,0.46776253,3.456112,0.37441757,0.5555555555555556,0.1111111111111111,66
1.2718283,1.0089152,2.3466809,1.2453856,0.25,0.625,67
0.6530524,0.6981711,0.5437391,0.67410845,0.2857142857142857,0.42857142857142855,68
1.1644431,0.621111,2.9160728,0.5608601,0.3333333333333333,0.5833333333333334,71
1.0298758,1.3219544,1.4042808,2.3999634,0.5,0.25,72
0.79492426,0.89811707,1.3999954,1.4152285,0.25,0.25,73
0.66486156,1.2149333,0.6664032,1.6620929,0.25,0.5,74
1.497771,0.64703923,3.2716238,0.82837814,0.4666666666666667,0.4,75
0.88391626,0.78563666,1.3631034,0.9898525,0.4444444444444444,0.3888888888888889,76
1.2992487,1.1004913,2.3148797,1.848571,0.3684210526315789,0.3157894736842105,77
0.22098279,0.4213704,0.109350495,0.3684834,0.0,0.16666666666666666,78
2.0180821,0.8124557,5.0050063,1.0734824,0.7272727272727273,0.5,79
0.9241521,0.71969706,1.2643567,0.983468,0.3076923076923077,0.38461538461538464,80
1.1579549,0.6827618,2.133283,0.8066098,0.2631578947368421,0.42105263157894735,81
1.0396076,0.6102796,1.6162537,0.75635207,0.5151515151515151,0.24242424242424243,83
1.6906444,1.0335867,4.1750035,1.4268845,0.5357142857142857,0.5357142857142857,85
1.9945493,0.7480521,5.120491,0.895849,0.5,0.25,86
0.9522987,0.73015904,1.2233056,0.9929547,0.16666666666666666,0.3333333333333333,87
1.5650399,0.9882054,4.0722203,1.4567993,0.4,0.4666666666666667,88
0.7220023,0.7557547,0.76016843,1.0697086,0.46153846153846156,0.38461538461538464,89
0.48114425,0.99689674,0.3929752,1.5715134,0.1,0.45,90
0.7579415,0.53418314,0.788842,0.5930591,0.3,0.13333333333333333,91
0.8555324,0.6421618,1.0964106,0.63157666,0.35294117647058826,0.23529411764705882,93
1.7574753,0.8067555,4.8206367,1.0583475,0.5714285714285714,0.42857142857142855,94
1.1887352,0.7718583,1.8722808,1.1162561,0.25,0.125,95
1.2712222,0.91911507,2.6022253,1.0406164,0.38461538461538464,0.6153846153846154,96
1.1854534,0.6255739,2.143046,0.8020214,0.2,0.26666666666666666,98
0.9807955,0.78718793,1.705042,1.0661381,0.38461538461538464,0.38461538461538464,99
1.269806,0.88877296,2.114153,1.1427675,0.7,0.5333333333333333,103
1.1005294,1.0099398,1.9842675,1.5926414,0.3076923076923077,0.6153846153846154,105
1.2015132,0.38482276,3.140505,0.2738095,0.625,0.375,106
0.9353601,0.628734,1.3106285,0.71238667,0.375,0.375,107
0.45989534,0.25624585,0.2941431,0.18342389,0.0,0.037037037037037035,108
1.3862985,0.65572065,2.851154,0.9580247,0.0,0.16666666666666666,109
1.1025078,0.6569565,1.7599051,0.6011413,0.5,0.4,113
0.66075397,0.41090626,0.68527764,0.38361946,0.38461538461538464,0.15384615384615385,114
0.52351034,0.26835978,0.5103697,0.2096694,0.2222222222222222,0.16666666666666666,116
1.5017536,0.700453,2.746451,0.57050884,0.2,0.6,119
1.7851938,0.79144996,5.059481,0.9249285,0.5,0.5833333333333334,120
0.81811357,0.399516,1.0173457,0.32636392,0.2777777777777778,0.2777777777777778,121
0.91377413,0.5122682,1.2261533,0.48130828,0.7272727272727273,0.09090909090909091,122
0.8258826,0.45211747,1.0852338,0.44520372,0.3333333333333333,0.20512820512820512,124
1.1901878,0.7666895,2.1843376,0.99168926,0.5652173913043478,0.5217391304347826,125
0.94965416,0.65646744,1.2915435,0.75924116,0.5882352941176471,0.17647058823529413,126
1.5497733,0.8298479,3.2989104,1.1417958,0.5,0.25,127
1.3757728,1.0393026,3.0074964,1.585061,0.4666666666666667,0.5333333333333333,128
1.103758,0.89093226,1.9155946,1.0595264,0.5789473684210527,0.631578947368421,131
0.90952075,0.60356563,1.2743547,0.5704828,0.2,0.2,133
1.2357936,0.8022161,2.1125698,0.97044265,0.38461538461538464,0.3076923076923077,134
0.92312664,0.34607968,1.1776452,0.27080655,0.23076923076923078,0.15384615384615385,137
1.7529038,0.67122585,5.106492,0.82578605,0.2777777777777778,0.16666666666666666,138
0.86110455,1.040148,1.2799387,1.4362646,0.2631578947368421,0.5263157894736842,139
1.3843675,0.539212,3.2555428,0.4891976,0.25,0.1875,140
0.8801992,0.7796211,1.1856471,0.89912677,0.2727272727272727,0.45454545454545453,141
1.4599391,1.3184762,2.9509568,1.9793175,0.4444444444444444,0.4444444444444444,142
1.084403,0.7450145,1.5376801,0.76146585,0.47368421052631576,0.47368421052631576,144
1.2694745,0.77618724,2.2044022,1.223434,0.16666666666666666,0.5,145
0.7965315,0.8186884,0.86841065,1.0594841,0.7272727272727273,0.18181818181818182,146
0.8433038,0.64575934,0.9456108,0.67308766,0.4,0.4,147
1.2159994,0.66512275,2.8152018,0.82187396,0.4444444444444444,0.1111111111111111,148
1.0388371,0.8117126,1.7952291,0.9997889,0.6842105263157895,0.5263157894736842,150
1.6154083,0.063282855,5.906439,0.004733613,0.0,0.0,152
0.7681693,0.37235966,0.90239775,0.3204839,0.2857142857142857,0.2857142857142857,153
1.0936185,0.35748032,1.4544783,0.2912019,0.5454545454545454,0.36363636363636365,155
1.7651572,0.88020885,4.6480746,1.249214,0.5,0.38235294117647056,158
0.78745544,0.8673234,1.0930194,1.1618924,0.2222222222222222,0.3333333333333333,161
1.7546602,0.91410255,3.8140163,1.1399611,0.4117647058823529,0.5294117647058824,162
1.183342,0.43478683,1.964472,0.4149084,0.35714285714285715,0.07142857142857142,163
0.42271864,0.30793348,0.2966848,0.22111377,0.125,0.25,164
1.5084909,1.0043589,2.5312467,1.9271655,0.0,0.5,166
0.89309734,0.5466428,1.0846698,0.47372028,0.18181818181818182,0.45454545454545453,167
0.7521945,0.58353657,0.84566504,0.5676,0.3125,0.3125,168
1.2697195,0.82096964,3.0355425,1.0561596,0.23684210526315788,0.42105263157894735,169
1.1171615,0.96367097,1.6463101,1.4784659,0.5625,0.375,170
1.0745845,0.98491114,1.6269586,1.6707938,0.45,0.35,171
1.6592475,0.79935235,4.3990784,1.161599,0.5142857142857142,0.45714285714285713,172
1.0678908,0.61924785,1.6972786,0.52567875,0.8,0.4,173
0.8374818,0.8977322,1.2320697,1.2400461,0.36666666666666664,0.5,174
1.4915091,0.9956411,2.480301,0.99303615,1.0,0.5,176
0.5738469,1.1619295,0.758103,1.7435724,0.2857142857142857,0.42857142857142855,178
0.5886028,0.44959512,0.5625199,0.5208902,0.5,0.2777777777777778,179
1.1500747,0.6883688,1.8023468,0.89622605,0.375,0.25,180
2.2650592,1.3226645,6.4447775,2.2192352,0.2,0.6,182
