epoch,train_loss,Delta_MAE_valence,Delta_MAE_arousal,Delta_MSE_valence,Delta_MSE_arousal,DirAcc_valence,DirAcc_arousal,val_loss
1,1.4711871861446242,1.1357099,0.6792851,2.2994583,0.97817415,0.3486943164362519,0.2887864823348694,1.6388161621884816
2,1.4219893897593263,1.1308455,0.68301123,2.2114344,0.95469403,0.4039938556067588,0.3087557603686636,1.5830641675471526
3,1.3713807470885366,1.1440531,0.6910424,2.203216,0.94181144,0.402457757296467,0.30261136712749614,1.5725137964005478
