model_name,MAE_valence_mean,MAE_valence_std,MAE_arousal_mean,MAE_arousal_std,MSE_valence_mean,MSE_valence_std,MSE_arousal_mean,MSE_arousal_std
global_mean,0.6797785027377791,0.11011291050100191,0.4159716628595723,0.03951708960622157,0.8590080767323428,0.3850349525561577,0.3350007659515031,0.10068447193740115
ridge_features,0.01613296045314867,0.004451888533963393,0.025047185397356335,0.002781929027143105,0.0005101010209044583,0.0003847382189767219,0.001179803615674428,0.0002811298024003827
random_forest_features,0.29873148793987225,0.06557486946322619,0.24066950091575795,0.016983144959829322,0.16820508055171537,0.10384909330705296,0.11913114205263317,0.024248697928105602
